,级别,课时,日语单词,词性,中文释意,记忆标记
3901,中级,第15课,かくす（隠す）,动1, 隐藏，隐蔽,
3918,中级,第15课,なる ,动1, 结（果实）,
3919,中级,第15课,おこる（起こる）,动1, 发生，引起,
3930,中级,第16课,いのる（祈る）,动1, 祝愿，祈求,
3936,中级,第16课,きれる（切れる）,动2, 断绝关系；断开，中断,
3937,中级,第16课,わかれる（別れる）,动2, 分手，离别,
3939,中级,第16课,まねく（招く）,动1, 邀请，招待，款待,
3940,中级,第16课,たすけあう（助け合う）,动1, 互相帮助，互助,
3942,中级,第16课,あたためる（暖める）,动2, 弄暖和；加热，加温,
3958,中级,第16课,かぎる（限る）,动1, 限于，只限；限定，限制,
3960,中级,第16课,きょしきする（挙式～）,动3, 举行（结婚）仪式,
3965,中级,第16课,しめる（占める）,动2, 占，占据；占领,
3970,中级,第16课,つとめる（務める）,动2, 担任；当，扮演,
3980,中级,第16课,いどうする（移動～）,动3, 移动,
3998,中级,第16课,しじする（支持～）,动3, 支持,
4008,中级,第17课,うりこむ（売り込む）,动1, 销售，促销，推销,
4010,中级,第17课,しいんする（試飲～）,动3, 试饮,
4026,中级,第17课,とびこむ（飛び込む）,动1, 跳入，跳进,
4027,中级,第17课,ほうる（放る）,动1, 抛，扔；放弃，弃之不顾,
4028,中级,第17课,なげこむ（投げ込む）,动1, 投进，投入，扔进,
4029,中级,第17课,ほうりこむ（放り込む）,动1, 扔进，投入,
4030,中级,第17课,もちこむ（持ち込む）,动1, 带入，带进,
4031,中级,第17课,ながれこむ（流れ込む）,动1, 流入，流进,
4032,中级,第17课,もぐりこむ（潜り込む）,动1, 潜入，钻入；躲入,
4033,中级,第17课,おちこむ（落ち込む）,动1, 掉进，掉入,
4042,中级,第17课,みなおす（見直す）,动1, 重看，重新审视，另眼相看,
4054,中级,第17课,そんざいする（存在～）,动3, 存在,
4055,中级,第17课,さかのぼる ,动1, 追溯，上溯,
4060,中级,第17课,とりかこむ（取り囲む）,动1, 围绕，包围，围拢,
4070,中级,第17课,とぐ（研ぐ）,动1, 磨快；磨光亮；淘,
4077,中级,第17课,かいぞうする（改造～）,动3, 改造，改建，改组,
4080,中级,第17课,つなぐ ,动1, 连接，拴，系,
4083,中级,第17课,していする（指定～）,动3, 指定,
4084,中级,第17课,ほぞんする（保存～）,动3, 保存,
4085,中级,第17课,こんざいする（混在～）,动3, 并存，混在一起,
4094,中级,第17课,みあげる（見上げる）,动2, 仰望，往上看,
4103,中级,第17课,おうぼする（応募～）,动3, 报名参加，应征；应募,
4107,中级,第17课,ほる（彫る）,动1, 雕刻，雕，刻,
4109,中级,第17课,つかまる（捕まる）,动1, 抓住，逮捕,
4111,中级,第17课,じさつする（自殺～）,动3, 自杀,
4122,中级,第17课,うえる（植える）,动2, 种，植，栽,
4126,中级,第17课,かかす（欠かす）,动1, 缺，缺少,
4135,中级,第17课,きふする（寄付～）,动3, 捐助，捐赠,
4139,中级,第17课,にゅうしょうする（入賞～）,动3, 获奖，得奖,
4142,中级,第17课,そう（沿う）,动1, 沿，顺,
4181,中级,第18课,さいせんする（再選～）,动3, 再选，重选,
4189,中级,第18课,けいさいする（掲載～）,动3, 登载，刊登,
4199,中级,第18课,ぞんずる（存～）,动3, 打算，想；知道，认识,
4201,中级,第18课,ゆるす（許す）,动1, 原谅，宽恕；允许，容许,
4214,中级,第18课,せいきゅうする（請求～）,动3, 索要，请求，要求，索取,
4216,中级,第18课,そうふする（送付～）,动3, 寄送，发送，寄出,
4220,中级,第18课,といあわせる（問い合わせる）,动2, 询问，问，打听,
4254,中级,第18课,がっぺいする（合併～）,动3, 合并,
4261,中级,第18课,こえる（越える）,动2, 越过，翻过,
4262,中级,第18课,メモする ,动3, 做记录，做笔记,
4275,中级,第18课,ねがう（願う）,动1, 请求，要求，拜托,
4299,中级,第19课,とおまわりする（遠回り～）,动3, 绕道，绕远,
4301,中级,第19课,なやむ（悩む）,动1, 烦恼，苦恼,
4305,中级,第19课,ぜっこうする（絶交～）,动3, 绝交,
4306,中级,第19课,はんせいする（反省～）,动3, 反省，反思,
4307,中级,第19课,かんりょうする（完了～）,动3, 完成，完毕,
4308,中级,第19课,りゅうねんする（留年～）,动3, 留级,
4313,中级,第19课,てりつける（照りつける）,动2, 暴晒，毒晒,
4317,中级,第19课,やりなおす（やり直す）,动1, 重做,
4318,中级,第19课,しあげる（仕上げる）,动2, 完成，做成,
4337,中级,第19课,しょりする（処理～）,动3, 处理，解决,
4338,中级,第19课,つめる（詰める）,动2, 装到，装满，填满；挤紧,
4348,中级,第19课,とりのぞく（取り除く）,动1, 去除，除去,
4352,中级,第19课,ともなう（伴う）,动1, 随着，伴随；跟随；符合,
4356,中级,第19课,つうかする（通過～）,动3, 通过,
4358,中级,第19课,しみこむ（染み込む）,动1, 渗进，渗透，浸入,
4371,中级,第19课,かけつする（可決～）,动3, 通过,
4375,中级,第19课,きょうちょうする（強調～）,动3, 重视，强调,
4381,中级,第19课,めざす（目指す）,动1, 向着，朝着,
4387,中级,第19课,けいぞくする（継続～）,动3, 继续,
4391,中级,第19课,たよる（頼る）,动1, 依靠，依赖,
4403,中级,第19课,みとめる（認める）,动2, 承认，认可,
4404,中级,第19课,ふっきゅうする（復旧～）,动3, 复旧,
4410,中级,第19课,きにゅうする（記入～）,动3, 写入，填写,
4415,中级,第19课,たんしゅくする（短縮～）,动3, 缩短,
4433,中级,第20课,かいやくする（解約～）,动3, 解约，解除合同，废约,
4434,中级,第20课,くじける ,动2, 气馁，消沉，颓丧；扭，挫伤,
4447,中级,第20课,ひく ,动1, 撞，轧,
4451,中级,第20课,さいてんする（採点～）,动3, 打分，判分，判卷,
4455,中级,第20课,ぜんしんする（前進～）,动3, 进展，前进,
4456,中级,第20课,はっしゃする（発車～）,动3, 发车，开车,
4457,中级,第20课,きゅうていしゃする（急停車～）,动3, 紧急停车,
4459,中级,第20课,くしんする（苦心～）,动3, 苦心，费心,
4460,中级,第20课,たちあがる（立ち上がる）,动1, 站起来,
4463,中级,第20课,ついかする（追加～）,动3, 追加,
4473,中级,第20课,よっぱらう（酔っ払う）,动1, 醉酒,
4475,中级,第20课,しゅっしゃする（出社～）,动3, 上班,
4487,中级,第20课,たたかう（戦う）,动1, 战斗，斗争,
4493,中级,第20课,せいていする（制定～）,动3, 制定,
4501,中级,第20课,かいしょうする（解消～）,动3, 缓解，解除，取消，消灭,
4504,中级,第20课,あいこうする（愛好～）,动3, 爱好,
4506,中级,第20课,すいしんする（推進～）,动3, 推广，促进，推进,
4507,中级,第20课,やくだてる（役立てる）,动2, 使起作用，供使用,
4513,中级,第20课,かかわる（関わる）,动1, 相关，关联,
4516,中级,第20课,けいげんする（軽減～）,动3, 减轻,
4521,中级,第20课,はたす（果たす）,动1, 完成，实现，实行,
4536,中级,第20课,うなずく ,动1, 点头,
4540,中级,第20课,まちがう（間違う）,动1, 错误，做错,
4543,中级,第20课,のりこえる（乗り越える）,动2, 渡过；跨过；越过,
4553,中级,第20课,さえぎる（遮る）,动1, 阻挡，遮挡，遮住，挡住,
4558,中级,第20课,あいようする（愛用～）,动3, 爱用，喜欢用,
4569,中级,第20课,ばいぞうする（倍増～）,动3, 倍增,
4572,中级,第20课,こんざつする（混雑～）,动3, 混乱，杂乱，拥挤,
4588,中级,第21课,じゅくせいする（熟成～）,动3, 发酵，陈年，成熟,
4593,中级,第21课,あわせる（合わせる）,动2, 总共，合计，合并；配合,
4596,中级,第21课,サービスする ,动3, 附带奉送，廉价出售,
4608,中级,第21课,あまる（余る）,动1, 剩余，剩下；过分,
4611,中级,第21课,めくれる ,动2, 打卷儿，卷缩,
4616,中级,第21课,はんしょくする（繁殖～）,动3, 繁殖,
4617,中级,第21课,かがやく（輝く）,动1, 闪亮，放光，辉耀,
4627,中级,第21课,あじわう（味わう）,动1, 品味，品尝,
4629,中级,第21课,せいりつする（成立～）,动3, 成立，完成,
4644,中级,第21课,はっこうする（発酵～）,动3, 发酵,
4646,中级,第21课,かんそうする（乾燥～）,动3, 晾干，晒干，干燥,
4653,中级,第21课,べんしょうする（弁償～）,动3, 赔，赔偿,
4661,中级,第21课,やわらげる（和らげる）,动2, 使柔和，使缓和,
4665,中级,第21课,さいばいする（栽培～）,动3, 栽培,
4687,中级,第21课,もちいる（用いる）,动2, 使用，用,
4696,中级,第21课,まなぶ（学ぶ）,动1, 学习，模仿,
4697,中级,第21课,しんこうする（信仰～）,动3, 信仰,
4700,中级,第21课,とういつする（統一～）,动3, 统一,
4705,中级,第21课,せんねんする（専念～）,动3, 专心，专心致志,
4715,中级,第21课,がまんする（我慢～）,动3, 忍耐,
4716,中级,第21课,つうようする（通用～）,动3, 通用，兼用,
4727,中级,第21课,ささげる（捧げる）,动2, 奉献，贡献,
4728,中级,第21课,してきする（指摘～）,动3, 指出,
4733,中级,第22课,うけたまわる（承る）,动1, 知道，敬悉,
4738,中级,第22课,はずす（外す）,动1, 不在，离开；摘下，去除,
4739,中级,第22课,おりかえす（折り返す）,动1, 折回，返回,
4768,中级,第22课,じゅうじつする（充実～）,动3, 充实,
4769,中级,第22课,まんさいする（満載～）,动3, 满载，装满,
4779,中级,第22课,とうさいする（搭載～）,动3, 装载,
4810,中级,第22课,さけぶ（叫ぶ）,动1, 喊叫，大声叫,
4820,中级,第22课,のぞむ（望む）,动1, 想，希望,
4827,中级,第22课,ひなんする（避難～）,动3, 避难，逃生,
4829,中级,第22课,おぼれる ,动2, 溺水，淹没,
4836,中级,第22课,おとろえる（衰える）,动2, 衰弱,
4837,中级,第22课,こだわる ,动1, 拘泥,
4860,中级,第22课,はかる（量る）,动1, 称，测量,
4861,中级,第22课,じっこうする（実行～）,动3, 执行，实践,
4870,中级,第23课,うつる（映る）,动1, 映，照,
4873,中级,第23课,つむ（積む）,动1, 装载,
4877,中级,第23课,さかえる（栄える）,动2, 昌盛繁荣，繁荣兴盛，兴旺,
4881,中级,第23课,めんする（面する）,动3, 面向，面对,
4884,中级,第23课,のる（載る）,动1, 登载，记载,
4886,中级,第23课,たちよる（立ち寄る）,动1, 顺路到，顺便到；走近,
4896,中级,第23课,ふれる（触れる）,动2, 触摸，碰,
4908,中级,第23课,へだてる（隔てる）,动2, 隔开，分开,
4909,中级,第23课,となりあう（隣り合う）,动1, 相邻，邻接，挨着,
4924,中级,第23课,いじゅうする（移住～）,动3, 移居,
4926,中级,第23课,めぐる（巡る）,动1, 巡游,
4930,中级,第23课,らいにちする（来日～）,动3, 来日本,
4932,中级,第23课,たんじょうする（誕生～）,动3, 诞生,
4936,中级,第23课,ひょうりゅうする（漂流～）,动3, 漂流,
4963,中级,第23课,ほどこす（施す）,动1, 施加，施,
4966,中级,第23课,みはる（見張る）,动1, 瞠目结舌；监视，看守,
4969,中级,第23课,みあきる（見飽きる）,动2, 看厌，看腻,
4996,中级,第23课,あきる（飽きる）,动2, 腻烦，厌烦，厌倦,
4997,中级,第23课,たべあきる（食べ飽きる）,动2, 吃腻,
4998,中级,第23课,ききあきる（聞き飽きる）,动2, 听腻,
5006,中级,第23课,びょうしゃする（描写～）,动3, 描写,
5011,中级,第23课,おしすすめる（推し進める）,动2, 推进,
5012,中级,第23课,てきする（適～）,动3, 适合，适切,
5021,中级,第23课,うめつくす（埋め尽くす）,动1, 挤满，填满,
5029,中级,第24课,ながめる（眺める）,动2, 看，眺望，观看,
5033,中级,第24课,ていはくする（停泊～）,动3, 停泊,
5038,中级,第24课,しゅうせいする（修正～）,动3, 修改，修正,
5044,中级,第24课,つる（釣る）,动1, 钓，钓鱼,
5049,中级,第24课,ふやす（増やす）,动1, 增加,
5053,中级,第24课,あてはまる（当てはまる）,动1, 适合；适用,
5061,中级,第24课,よこぎる（横切る）,动1, 横过，横穿过,
5064,中级,第24课,なりたつ（成り立つ）,动1, 成立,
5066,中级,第24课,さいけんする（再建～）,动3, 重新建设,
5069,中级,第24课,はかる（測る）,动1, 测量，测算,
5070,中级,第24课,きずつける（傷つける）,动2, 伤害，弄伤,
5074,中级,第24课,きんぱくする（緊迫～）,动3, 激烈，紧迫，紧张,
5075,中级,第24课,ちゅうだんする（中断～）,动3, 打断，中断,
5078,中级,第24课,うんえいする（運営～）,动3, 运营，经营，管理,
5084,中级,第24课,たいりつする（対立～）,动3, 对立,
5088,中级,第24课,したしむ（親しむ）,动1, 亲近；喜好,
5090,中级,第24课,きようする（起用～）,动3, 起用，任用,
5092,中级,第24课,しゅつえんする（出演～）,动3, 出演,
5095,中级,第24课,つくりあげる（作り上げる）,动2, 制作，做完,
5098,中级,第24课,はっしんする（発信～）,动3, 传达，发信,
5108,中级,第24课,めいわくする（迷惑～）,动3, 感到麻烦，遭受烦扰,
5113,中级,第24课,さっかくする（錯覚～）,动3, 错觉,
5118,中级,第24课,おうえんする（応援～）,动3, 声援，支援,
5120,中级,第24课,こうにゅうする（購入～）,动3, 买进，购入,
5127,中级,第24课,かかえる（抱える）,动2, 担负，承担,
5134,中级,第24课,ひっくりかえる（引っくり返る）,动1, 倒，翻倒,
5143,中级,第25课,こす（越す）,动1, 超过，胜过,
5145,中级,第25课,おさえる（押さえる）,动2, 订，抓住；把握，掌控；压，按,
5157,中级,第25课,こんやくする（婚約～）,动3, 定婚，婚约,
5158,中级,第25课,すすめる ,动2, 劝，劝告，推荐,
5165,中级,第25课,はやす（生やす）,动1, 留，使……生长,
5167,中级,第25课,みだれる（乱れる）,动2, 乱，不平静,
5174,中级,第25课,けいこくする（警告～）,动3, 警告,
5189,中级,第25课,トレーニングする ,动3, 练习，训练，锻炼,
5197,中级,第25课,かぞえる（数える）,动2, 数，计算，列举,
5201,中级,第25课,おうじる（応じる）,动2, 适应，接受，回答，答应,
5206,中级,第25课,まく（巻く）,动1, 卷，卷起,
5213,中级,第25课,つける（漬ける）,动2, 腌，浸，泡，浸泡,
5217,中级,第25课,こうあんする（考案～）,动3, 设计，规划,
5218,中级,第25课,こらす ,动1, 绞尽脑汁，凝，集中,
5220,中级,第25课,アレンジする ,动3, 改制，整理，排列，准备，安排,
5224,中级,第25课,そくす（即す）,动1, 适应，结合，符合,
5227,中级,第25课,ぎゃくゆにゅうする（逆輸入～）,动3, （出口以后）重又进口，再输入,
5234,中级,第25课,つらぬく（貫く）,动1, 穿过，贯彻,
5255,中级,第25课,さくじょする（削除～）,动3, 删除,
5260,中级,第25课,しばる（縛る）,动1, 束缚,
5262,中级,第25课,しゅくしょうする（縮小～）,动3, 缩小,
5274,中级,第25课,にんしきする（認識～）,动3, 认识,
5279,中级,第26课,ひょうしょうする（表彰～）,动3, 表彰,
5308,中级,第26课,あいしあう（愛し合う）,动1, 互爱，相互爱慕,
5325,中级,第26课,およぼす（及ぼす）,动1, 影响到，波及，达到,
5328,中级,第26课,はいしゅつする（排出～）,动3, 排放，排出,
5331,中级,第26课,きゅうしゅうする（吸収～）,动3, 吸收,
5333,中级,第26课,げきげんする（激減～）,动3, 骤减，剧减,
5337,中级,第26课,こうじる（講じる）,动2, 采取，寻求，谋求；讲说，朗读,
5351,中级,第26课,かくほする（確保～）,动3, 确保,
5359,中级,第26课,くずす（崩す）,动1, 打乱，拆散，搞乱,
5362,中级,第26课,はんげんする（半減～）,动3, 减半,
5371,中级,第26课,わく（湧く）,动1, 涌现，产生；涌出，冒出,
5375,中级,第27课,しゅさいする（主催～）,动3, 主办，举办,
5384,中级,第27课,とめる（停める）,动2, 停，停泊，停放,
5385,中级,第27课,へこむ（凹む）,动1, 凹陷，凹下，陷下；服输,
5393,中级,第27课,せつりつする（設立～）,动3, 设立,
5395,中级,第27课,だきょうする（妥協～）,动3, 妥协,
5397,中级,第27课,なす ,动1, 完成，形成，构成；做，为,
5402,中级,第27课,そうていする（想定～）,动3, 想象到，设想，设定，预定，预期,
5423,中级,第27课,つかまえる（捕まえる）,动2, 捉住，逮住；抓住,
5426,中级,第27课,もむ ,动1, 互相拥挤，乱作一团；推拿；揉搓,
5429,中级,第27课,こうしんする（更新～）,动3, 更新,
5432,中级,第27课,のぞむ（臨む）,动1, 面临，面对,
5434,中级,第27课,あてはめる（当てはめる）,动2, 填，应用，适用,
5435,中级,第27课,みちびきだす（導き出す）,动1, 导出，引出，推导,
5437,中级,第27课,あいつぐ（相次ぐ）,动1, 接连不断，相继，陆续,
5441,中级,第27课,とびかう（飛び交う）,动1, 漫天飞舞，飞来飞去,
5444,中级,第27课,みっちゃくする（密着～）,动3, 密切，紧密,
5456,中级,第27课,きぞうする（寄贈～）,动3, 赠送，增予,
5469,中级,第27课,ととのえる（整える）,动2, 完善，完备,
5507,中级,第28课,ゆうきづける（勇気づける）,动2, 鼓励，打气,
5511,中级,第28课,かわいがる ,动1, 喜爱，疼爱,
5512,中级,第28课,こがす（焦がす）,动1, 炒煳，烧煳，烤焦,
5513,中级,第28课,つくりなおす（作り直す）,动1, 重做,
5515,中级,第28课,きずく（築く）,动1,建立；积累,
5521,中级,第28课,かなう ,动1, 能实现，如愿以偿,
5522,中级,第28课,ねこむ（寝込む）,动1, 卧床不起；熟睡,
5523,中级,第28课,げんきづける（元気づける）,动2, 使振作，鼓劲，打气，使打起精神,
5524,中级,第28课,かっきづける（活気づける）,动2, 使充满活力,
5534,中级,第28课,みる（診る）,动2, 诊断,
5551,中级,第28课,はんする（反する）,动3, 相反；违反,
5553,中级,第28课,せいぎょする（制御～）,动3, 控制，操纵，驾驭,
5557,中级,第28课,もぐる（潜る）,动1, 潜入，钻过，钻入,
5574,中级,第28课,ほろぼす（滅ぼす）,动1, 毁灭，使灭亡,
5581,中级,第28课,ちゅうたいする（中退～）,动3, 中途退学,
5586,中级,第28课,そなえる（備える）,动2, 准备，防备,
5589,中级,第28课,ちょぞうする（貯蔵～）,动3, 储藏,
5591,中级,第28课,とくてんする（得点～）,动3, 得分,
5594,中级,第28课,らくせんする（落選～）,动3, 落选,
5597,中级,第28课,いかす（生かす）,动1, 发挥，有效利用,
5604,中级,第28课,こんらんする（混乱～）,动3, 混乱,
5619,中级,第29课,ちょうだいする（頂戴～）,动3, 领受，收到；吃,
5620,中级,第29课,はいりょする（配慮～）,动3, 照顾，关怀，照料,
5624,中级,第29课,きがえる（着替える）,动2, 换衣服，更衣,
5640,中级,第29课,うかる（受かる）,动1, 考上，考中，及格,
5654,中级,第29课,とびちる（飛び散る）,动1, 四处飞散，洒落，飘洒，飞洒,
5657,中级,第29课,つまる（詰まる）,动1, 塞满，挤满，堆满；堵塞，不通,
5664,中级,第29课,とうじょうする（搭乗～）,动3, 搭乘,
5673,中级,第29课,はくする（博する）,动1, 博得，获取，获得，得到,
5681,中级,第29课,りっこうほする（立候補～）,动3, 参加竞选，作候选人,
5685,中级,第29课,こうふんする（興奮～）,动3, 兴奋，激动,
5689,中级,第29课,ちょうせつする（調節～）,动3, 调节，调剂，调整,
5691,中级,第29课,じょうりくする（上陸～）,动3, 登陆，登岸,
5697,中级,第29课,おいつく（追いつく）,动1, 赶上，追上；来得及,
5700,中级,第29课,しりあう（知り合う）,动1, 相识，结识,
5702,中级,第29课,みすてる（見捨てる）,动2, 抛弃，离弃,
5708,中级,第30课,さきだつ（先立つ）,动1, 在……之前；率先,
5710,中级,第30课,みなれる（見慣れる）,动2, 看惯，看熟,
5729,中级,第30课,アップする ,动3, 提高，增高,
5745,中级,第30课,したがう（従う）,动1, 遵守，遵从，服从；跟随,
5758,中级,第30课,おしよせる（押し寄せる）,动2, 涌过来，蜂拥而至,
5760,中级,第30课,もたらす ,动1, 造成，招致，带来，带去,
5765,中级,第30课,おしあう（押し合う）,动1, 相互推挤，冲撞,
5767,中级,第30课,たえる（耐える）,动2, 承受，忍受，忍耐,
5769,中级,第30课,ずれる ,动2, 错位，错开，移动；背离，偏离,
5774,中级,第30课,いちする（位置～）,动3, 位于，位置,
5782,中级,第30课,オープンする ,动3, 开张，开业，开放,
5784,中级,第30课,うちあう（打ち合う）,动1, 对打，互打,
5786,中级,第30课,げしゃする（下車～）,动3, 下车,
5788,中级,第30课,いいあう（言い合う）,动1, 互相说；各执一司；争论,
5790,中级,第30课,にこむ（煮込む）,动1, 炖，煮，熬,
5791,中级,第30课,かさねる（重ねる）,动2, 反复，多次；摞，叠放,
5792,中级,第30课,はんこうする（反抗～）,动3, 反抗,
5801,中级,第30课,だんけつする（団結～）,动3, 团结,
5802,中级,第30课,せめる（攻める）,动2, 进攻，攻击,
5804,中级,第30课,こくふくする（克服～）,动3, 克服,
5810,中级,第31课,しんせつする（新設～）,动3, 新成立，新设，新设置，新开设,
5812,中级,第31课,なぐさめる（慰める）,动2, 安慰，宽慰；慰问，慰劳,
5815,中级,第31课,たつ（発つ）,动1, 出发，动身；离开,
5822,中级,第31课,くるう（狂う）,动1, 打乱；发疯，疯狂；失常,
5825,中级,第31课,ふく（拭く）,动1, 擦，抹，拭，擦拭,
5834,中级,第31课,くみたてる（組み立てる）,动2, 组装，安装，装配,
5842,中级,第31课,くう（食う）,动1, 吃；咬，叮；吃饭；侵占,
5845,中级,第31课,おもいきる（思い切る）,动1, 决心，决意，下狠心,
5846,中级,第31课,しめる（締める）,动2, 系，束，系紧；结算,
5847,中级,第31课,しはいする（支配～）,动3, 统治，指使，支配；控制,
5848,中级,第31课,ほしょうする（保証～）,动3, 保证，担保，打保票,
5850,中级,第31课,すいとる（吸い取る）,动1, 摄取，吸收；吮吸,
5867,中级,第31课,ささえる（支える）,动2, 撑起，支撑；支持,
5869,中级,第31课,たばねる（束ねる）,动2, 扎，束，捆；整顿,
5874,中级,第31课,つりさげる（つり下げる）,动2, 挂，吊，悬挂,
5877,中级,第31课,ゆらす（揺らす）,动1, 摇晃，晃动,
5889,中级,第31课,ぶんかいする（分解～）,动3, 分解；拆分，分析,
5903,中级,第31课,こうたいする（交代～）,动3, 换，更换，更替，换班，轮换,
5907,中级,第31课,でんせんする（伝染～）,动3, 传染,
5917,中级,第31课,のうひんする（納品～）,动3, 交货，缴纳物品,
5924,中级,第31课,こくはくする（告白～）,动3, 坦白，自白，告白,
5927,中级,第32课,たいしゃする（退社～）,动3, 下班；辞职，退职,
5928,中级,第32课,おちつく（落ち着く）,动1, 稳定，沉着，安定,
5929,中级,第32课,はげます（励ます）,动1, 鼓劲，鼓励，激励,
5934,中级,第32课,ろくおんする（録音～）,动3, 录音,
5938,中级,第32课,ていでんする（停電～）,动3, 停电,
5939,中级,第32课,きらう（嫌う）,动1, 讨厌，厌烦,
5949,中级,第32课,ひけつする（否決～）,动3, 否决,
5951,中级,第32课,きずつく（傷つく）,动1, 受伤，负伤；受损，受创,
5956,中级,第32课,ちょくめんする（直面～）,动3, 直面，面临，面对,
5960,中级,第32课,ぶんぷする（分布～）,动3, 分布,
5965,中级,第32课,せいそくする（生息～）,动3, 栖息，生息,
5974,中级,第32课,とりくむ（取り組む）,动1, 致力于，埋头于,
5977,中级,第32课,しいくする（飼育～）,动3, 饲养,
5982,中级,第32课,つのる（募る）,动1, 募集，征募，招募,
5984,中级,第32课,はけんする（派遣～）,动3, 派遣,
5986,中级,第32课,ふかめる（深める）,动2, 加深，深化,
5990,中级,第32课,こころみる（試みる）,动2, 尝试，试验,
5993,中级,第32课,さしのべる（差し伸べる）,动2, 伸出,
5995,中级,第32课,さいする（際する）,动3, 正值，正当,
6009,中级,第32课,かんせんする（感染～）,动3, 感染，染上,
6022,中级,第32课,かいかんする（開館～）,动3, 开馆,
6029,中级,第32课,へいさする（閉鎖～）,动3, 关闭，封闭,
